data,produto,categoria,quantidade,valor_unitario,valor_total,regiao
2024-01-01,Notebook,Eletrônicos,2,3500.00,7000.00,Sul
2024-01-01,Smartphone,Eletrônicos,5,1200.00,6000.00,Sudeste
2024-01-02,Monitor,Eletrônicos,3,800.00,2400.00,Norte
2024-01-02,Teclado,Periféricos,10,50.00,500.00,Centro-Oeste
2024-01-03,Mouse,Periféricos,15,30.00,450.00,Nordeste
2024-01-03,Headphone,Periféricos,8,100.00,800.00,Sul
2024-01-04,Tablet,Eletrônicos,4,1500.00,6000.00,Sudeste
2024-01-04,Impressora,Periféricos,2,600.00,1200.00,Norte
2024-01-05,SSD,Componentes,12,200.00,2400.00,Centro-Oeste
2024-01-05,RAM,Componentes,20,150.00,3000.00,Nordeste
